Nome,Cargo,Tipo Cargo,cpf,Cidade
Adelina Castelão,Vereador,Eleito,063.650.195-72,Recife
Adelina Castillo,Vereador,Eleito,217.897.405-84,Teresina
Adelina Godinho,Vereador,Eleito,228.908.617-75,Rio de Janeiro
Adelina Gomes,Vereador,Eleito,326.763.761-95,Natal
Adelina Jesús,Vereador,Eleito,577.841.493-52,Porto Alegre
Adelina Ramires,Vereador,Eleito,019.027.197-35,Porto Velho
Adelina Robalinho,Vereador,Eleito,227.490.354-90,Boa Vista
Adelina Teves,Vereador,Eleito,697.779.542-55,Florianópolis
Adelino Bezerra,Vereador,Eleito,475.223.668-01,São Paulo
Adelino Cardim,Vereador,Eleito,383.554.375-00,Aracaju
Adelino Godoy,Vereador,Eleito,811.325.083-20,Palmas
Adelino Granjeiro,Vereador,Eleito,381.769.576-40,Rio Branco
Adelino Gravato,Vereador,Eleito,352.704.584-89,Maceió
Adelino Isla,Vereador,Eleito,678.967.872-70,Macapá
Adelino Mena,Vereador,Eleito,051.590.162-87,Manaus
Adelino Paraguaçu,Vereador,Eleito,500.159.262-30,Salvador
Adelino Porto,Vereador,Eleito,229.252.945-96,Fortaleza
Adelino Telles,Vereador,Eleito,131.006.707-44,Brasília
Adelino Villegas,Vereador,Eleito,319.286.738-80,Vitória
Adolfo Barateiro,Vereador,Eleito,362.098.156-69,Goiânia
Adolfo Beserril,Vereador,Eleito,085.416.783-85,São Luís
Adolfo Conceição,Vereador,Eleito,625.869.496-92,Cuiabá
Adolfo Gusmão,Vereador,Eleito,008.286.743-70,Campo Grande
Adolfo Pinto,Vereador,Eleito,501.741.390-12,Belo Horizonte
Adolfo Piragibe,Vereador,Eleito,926.650.813-69,Belém
Adolfo Teodoro,Vereador,Eleito,324.215.405-34,João Pessoa
Adolfo Vellozo,Vereador,Eleito,100.957.419-17,Curitiba
Adosindo Antas,Vereador,Eleito,110.488.755-04,Recife
Adosindo Barcelos,Vereador,Eleito,854.202.144-40,Teresina
Adosindo Fontoura,Vereador,Eleito,710.136.659-70,Rio de Janeiro
Adosindo Freitas,Vereador,Eleito,934.605.285-67,Natal
Adosindo Herrera,Vereador,Eleito,050.115.975-47,Porto Alegre
Adosindo Hurtado,Vereador,Eleito,052.287.026-01,Porto Velho
Adosindo Lages,Vereador,Eleito,801.184.967-00,Boa Vista
Adosindo Laureano,Vereador,Eleito,026.466.012-98,Florianópolis
Adosindo Osório,Vereador,Eleito,144.566.939-08,São Paulo
Adosindo Quinterno,Vereador,Eleito,821.553.162-83,Aracaju
Adosindo Sabala,Vereador,Eleito,722.618.703-53,Palmas
Adriana Bello,Vereador,Eleito,879.453.963-48,Rio Branco
Adriana Belém,Vereador,Eleito,236.279.507-12,Maceió
Adriana Fontes,Vereador,Eleito,098.304.863-03,Macapá
Adriana Paraguaçu,Vereador,Eleito,808.982.282-71,Manaus
Adriana Proença,Vereador,Eleito,945.563.674-33,Salvador
Adriana Santana,Vereador,Eleito,759.152.434-87,Fortaleza
Adriana Sarabia,Vereador,Eleito,107.092.987-57,Brasília
Adriana Valentim,Vereador,Eleito,957.836.550-07,Vitória
Adriana Vega,Vereador,Eleito,153.193.674-14,Goiânia
Adriano Albuquerque,Vereador,Eleito,399.959.469-12,São Luís
Adriano Andrade,Vereador,Eleito,649.586.097-84,Cuiabá
Adriano Baião,Vereador,Eleito,044.447.886-82,Campo Grande
Adriano Brum,Vereador,Eleito,000.685.764-71,Belo Horizonte
Adriano Domínguez,Vereador,Eleito,558.117.827-56,Belém
Adriano Durán,Vereador,Eleito,564.872.906-53,João Pessoa
Adriano Lemes,Vereador,Eleito,058.718.490-67,Curitiba
Adriano Marrero,Vereador,Eleito,963.062.309-98,Recife
Adriano Nieves,Vereador,Eleito,407.550.324-03,Teresina
Adriano Pajares,Vereador,Eleito,205.089.136-91,Rio de Janeiro
Adriano Pari,Vereador,Eleito,805.541.638-96,Natal
Adriano Saldanha,Vereador,Eleito,847.826.779-44,Porto Alegre
Adriano Uchoa,Vereador,Eleito,165.191.277-79,Porto Velho
Adão Aragão,Vereador,Eleito,578.564.349-96,Boa Vista
Adão Casqueira,Vereador,Eleito,226.047.889-18,Florianópolis
Adão Castilho,Vereador,Eleito,472.437.614-70,São Paulo
Adão Durão,Vereador,Eleito,273.998.466-93,Aracaju
Adão Fagundes,Vereador,Eleito,172.014.190-80,Palmas
Adão Freyre,Vereador,Eleito,322.936.681-69,Rio Branco
Adão Granjeiro,Vereador,Eleito,206.063.042-82,Maceió
Adão Neves,Vereador,Eleito,896.949.349-23,Macapá
Adão Pequeno,Vereador,Eleito,548.143.878-06,Manaus
Adão Pimenta,Vereador,Eleito,683.797.074-78,Salvador
Adão Quinaz,Vereador,Eleito,115.191.607-20,Fortaleza
Adão Sousa do Prado,Vereador,Eleito,441.580.101-36,Brasília
Adão Souto Maior,Vereador,Eleito,974.037.608-83,Vitória
Adão Tabares,Vereador,Eleito,828.142.448-68,Goiânia
Adélia Blanco,Vereador,Eleito,032.615.828-63,São Luís
Adélia Brión,Vereador,Eleito,104.687.437-31,Cuiabá
Adélia Dourado,Vereador,Eleito,588.224.290-87,Campo Grande
Adélia Fróis,Vereador,Eleito,113.071.888-34,Belo Horizonte
Adélia García,Vereador,Eleito,160.586.886-80,Belém
Adélia Lago,Vereador,Eleito,933.944.491-45,João Pessoa
Adélia Menna,Vereador,Eleito,832.713.934-78,Curitiba
Adélia Morgado,Vereador,Eleito,100.213.015-81,Recife
Adélia Parente,Vereador,Eleito,761.362.121-96,Teresina
Adélia Pereira,Vereador,Eleito,165.903.209-18,Rio de Janeiro
Adélia Quintero,Vereador,Eleito,939.989.380-44,Natal
Adélia Viera,Vereador,Eleito,642.833.655-30,Porto Alegre
Adélio Assunção,Vereador,Eleito,060.706.394-72,Porto Velho
Adélio Branco,Vereador,Eleito,234.050.493-77,Boa Vista
Adélio Brandão,Vereador,Eleito,295.703.056-06,Florianópolis
Adélio Gameiro,Vereador,Eleito,369.683.210-33,São Paulo
Adélio Gouvêa,Vereador,Eleito,522.658.429-66,Aracaju
Adélio Guerrero,Vereador,Eleito,836.672.859-57,Palmas
Adélio Linares,Vereador,Eleito,092.325.433-11,Rio Branco
Adélio Maranhão,Vereador,Eleito,779.213.137-87,Maceió
Adélio Mena,Vereador,Eleito,980.684.488-29,Macapá
Adélio Roriz,Vereador,Eleito,691.471.986-13,Manaus
Adélio Álvez,Vereador,Eleito,975.055.464-73,Salvador
Adérito Barra,Vereador,Eleito,938.572.475-41,Fortaleza
Adérito Camacho,Vereador,Eleito,532.517.152-67,Brasília
Adérito Canhão,Vereador,Eleito,615.318.190-28,Vitória
Adérito Espartero,Vereador,Eleito,157.337.260-91,Goiânia
Adérito Guedelha,Vereador,Eleito,396.216.534-79,São Luís
Adérito Guedella,Vereador,Eleito,101.342.158-26,Cuiabá
Adérito Mangueira,Vereador,Eleito,918.720.570-04,Campo Grande
Adérito Marins,Vereador,Eleito,323.422.079-48,Belo Horizonte
Adérito Meira,Vereador,Eleito,707.575.045-31,Belém
Adérito Mendes,Vereador,Eleito,226.545.226-28,João Pessoa
Adérito Pajares,Vereador,Eleito,168.356.744-74,Curitiba
Adérito Peçanha,Vereador,Eleito,550.069.829-00,Recife
Adérito Ramallo,Vereador,Eleito,689.202.393-20,Teresina
Adérito Ruas,Vereador,Eleito,378.694.827-57,Rio de Janeiro
Adérito Sardinha,Vereador,Eleito,870.251.673-04,Natal
Adérito Águeda,Vereador,Eleito,640.847.132-36,Porto Alegre
Afonso Aleixo,Vereador,Eleito,523.759.069-18,Porto Velho
Afonso Bautista,Vereador,Eleito,819.920.979-84,Boa Vista
Afonso Brum,Vereador,Eleito,100.636.060-38,Florianópolis
Afonso Dias,Vereador,Eleito,426.929.277-61,São Paulo
Afonso Lisboa,Vereador,Eleito,852.803.229-97,Aracaju
Afonso Moniz,Vereador,Eleito,698.934.460-15,Palmas
Afonso Queirós,Vereador,Eleito,079.613.105-84,Rio Branco
Afonso Quirino,Vereador,Eleito,244.137.012-08,Maceió
Afonso Rosa,Vereador,Eleito,969.295.187-19,Macapá
Afonso Santos,Vereador,Eleito,158.458.709-17,Manaus
Afonso Saraiva,Vereador,Eleito,460.742.676-85,Salvador
Afonso Vilas Boas,Vereador,Eleito,341.600.918-57,Fortaleza
Agostinho Alancastro,Vereador,Eleito,033.348.763-06,Brasília
Agostinho Azambuja,Vereador,Eleito,010.625.120-14,Vitória
Agostinho Belchior,Vereador,Eleito,224.179.272-17,Goiânia
Agostinho Caneira,Vereador,Eleito,060.043.451-64,São Luís
Agostinho Núñez,Vereador,Eleito,408.459.623-02,Cuiabá
Agostinho Rosário,Vereador,Eleito,651.321.051-81,Campo Grande
Agostinho Terra,Vereador,Eleito,480.775.064-02,Belo Horizonte
Agostinho Varejão,Vereador,Eleito,411.141.210-61,Belém
Agostinho Villena,Vereador,Eleito,480.473.038-99,João Pessoa
Aguinaldo Anhaia,Vereador,Eleito,248.536.183-50,Curitiba
Aguinaldo Antúnez,Vereador,Eleito,485.706.100-76,Recife
Aguinaldo Gomide,Vereador,Eleito,295.621.891-39,Teresina
Aguinaldo Leal,Vereador,Eleito,929.426.411-42,Rio de Janeiro
Aguinaldo Madeira,Vereador,Eleito,258.762.462-20,Natal
Aguinaldo Mata,Vereador,Eleito,065.164.380-56,Porto Alegre
Aguinaldo Mourato,Vereador,Eleito,102.413.844-51,Porto Velho
Aguinaldo Nobre,Vereador,Eleito,853.229.992-05,Boa Vista
Aguinaldo Paes,Vereador,Eleito,768.812.815-36,Florianópolis
Aguinaldo Pasos,Vereador,Eleito,956.794.285-47,São Paulo
Aguinaldo Paula,Vereador,Eleito,548.970.459-40,Aracaju
Aguinaldo Ramírez,Vereador,Eleito,520.973.424-26,Palmas
Aguinaldo Rodovalho,Vereador,Eleito,909.701.733-50,Rio Branco
Aguinaldo Rosario,Vereador,Eleito,156.727.198-72,Maceió
Aguinaldo Tabalipa,Vereador,Eleito,084.147.436-25,Macapá
Aida Alves,Vereador,Eleito,714.912.118-73,Manaus
Aida Baptista,Vereador,Eleito,487.428.290-38,Salvador
Aida Beltrão,Vereador,Eleito,203.789.183-03,Fortaleza
Aida Coutinho,Vereador,Eleito,507.550.555-43,Brasília
Aida Grangeia,Vereador,Eleito,333.103.875-00,Vitória
Aida Marroquim,Vereador,Eleito,788.281.881-03,Goiânia
Aida Moniz,Vereador,Eleito,139.598.401-87,São Luís
Aida Rúa,Vereador,Eleito,483.138.772-00,Cuiabá
Aida Sabrosa,Vereador,Eleito,231.372.113-28,Campo Grande
Aida Tamoio,Vereador,Eleito,035.149.942-34,Belo Horizonte
Aida Veiga,Vereador,Eleito,776.542.238-38,Belém
Aires Anlicoara,Vereador,Eleito,364.013.876-70,João Pessoa
Aires Aragão,Vereador,Eleito,972.150.503-00,Curitiba
Aires Coito,Vereador,Eleito,403.052.037-54,Recife
Aires Dias,Vereador,Eleito,332.647.818-67,Teresina
Aires Fiães,Vereador,Eleito,536.235.593-77,Rio de Janeiro
Aires Gameiro,Vereador,Eleito,816.231.873-97,Natal
Aires Landim,Vereador,Eleito,868.504.791-99,Porto Alegre
Aires Mangueira,Vereador,Eleito,261.774.599-60,Porto Velho
Aires Manso,Vereador,Eleito,033.699.658-60,Boa Vista
Aires Mont'Alverne,Vereador,Eleito,483.287.826-34,Florianópolis
Aires Nieves,Vereador,Eleito,696.373.486-03,São Paulo
Aires Severiano,Vereador,Eleito,608.300.552-31,Aracaju
Ajuricaba Assis,Vereador,Eleito,771.740.522-90,Palmas
Ajuricaba Bentes,Vereador,Eleito,877.070.236-50,Rio Branco
Ajuricaba Caiado,Vereador,Eleito,269.955.655-68,Maceió
Ajuricaba Caniça,Vereador,Eleito,906.547.832-92,Macapá
Ajuricaba Carvalhal,Vereador,Eleito,005.746.160-04,Manaus
Ajuricaba Curvelo,Vereador,Eleito,080.627.686-00,Salvador
Ajuricaba Mora,Vereador,Eleito,632.813.336-72,Fortaleza
Ajuricaba Penha,Vereador,Eleito,249.083.829-64,Brasília
Ajuricaba Quaresma,Vereador,Eleito,099.245.896-02,Vitória
Ajuricaba Rosario,Vereador,Eleito,212.465.611-23,Goiânia
Ajuricaba Villaverde,Vereador,Eleito,891.776.017-18,São Luís
Alarico Barreiro,Vereador,Eleito,173.539.074-79,Cuiabá
Alarico Costa,Vereador,Eleito,851.027.460-65,Campo Grande
Alarico Girã,Vereador,Eleito,369.876.257-94,Belo Horizonte
Alarico Goulart,Vereador,Eleito,188.198.304-85,Belém
Alarico Mattozo,Vereador,Eleito,759.908.094-50,João Pessoa
Alarico Pimenta,Vereador,Eleito,023.482.299-60,Curitiba
Alarico Ribas,Vereador,Eleito,940.351.223-78,Recife
Alarico Siebra,Vereador,Eleito,176.723.125-37,Teresina
Alarico Siqueira,Vereador,Eleito,485.661.599-85,Rio de Janeiro
Alarico Vilaverde,Vereador,Eleito,926.903.546-83,Natal
Alberta Abelho,Vereador,Eleito,926.463.799-00,Porto Alegre
Alberta Abelho,Vereador,Eleito,606.289.288-15,Porto Velho
Alberta Casquero,Vereador,Eleito,689.609.861-94,Boa Vista
Alberta Castanho,Vereador,Eleito,599.483.022-49,Florianópolis
Alberta Delgado,Vereador,Eleito,945.734.078-71,São Paulo
Alberta Durão,Vereador,Eleito,714.568.142-06,Aracaju
Alberta Fidalgo,Vereador,Eleito,009.355.095-26,Palmas
Alberta Horta,Vereador,Eleito,286.350.668-47,Rio Branco
Alberta Inês,Vereador,Eleito,957.203.527-40,Maceió
Alberta Nieves,Vereador,Eleito,139.379.535-82,Macapá
Alberta Tabosa,Vereador,Eleito,648.253.105-91,Manaus
Alberto Acuña,Vereador,Eleito,715.953.889-74,Salvador
Alberto Araújo,Vereador,Eleito,150.408.291-59,Fortaleza
Alberto Blanco,Vereador,Eleito,069.170.981-59,Brasília
Alberto Colaço,Vereador,Eleito,493.359.278-05,Vitória
Alberto Corvelo,Vereador,Eleito,416.813.118-10,Goiânia
Alberto Godoy,Vereador,Eleito,448.909.474-42,São Luís
Alberto Meira,Vereador,Eleito,232.393.827-41,Cuiabá
Alberto Peixoto,Vereador,Eleito,176.433.146-08,Campo Grande
Alberto Quadros,Vereador,Eleito,040.989.388-98,Belo Horizonte
Alberto Queiroga,Vereador,Eleito,695.011.843-07,Belém
Alberto Severo,Vereador,Eleito,886.932.415-08,João Pessoa
Alberto Valentim,Vereador,Eleito,231.117.429-03,Curitiba
Alberto Veleda,Vereador,Eleito,079.731.900-07,Recife
Albino Candal,Vereador,Eleito,840.679.303-13,Teresina
Albino Coelho,Vereador,Eleito,944.248.061-89,Rio de Janeiro
Albino Câmara,Vereador,Eleito,974.243.000-40,Natal
Albino César,Vereador,Eleito,390.977.800-39,Porto Alegre
Albino Feitosa,Vereador,Eleito,994.373.586-48,Porto Velho
Albino Malheiro,Vereador,Eleito,903.552.859-08,Boa Vista
Albino Nogueira,Vereador,Eleito,501.933.651-38,Florianópolis
Albino Pitangui,Vereador,Eleito,336.038.909-30,São Paulo
Albino Sousa do Prado,Vereador,Eleito,708.507.876-61,Aracaju
Albino Telinhos,Vereador,Eleito,775.168.146-28,Palmas
Albino Varanda,Vereador,Eleito,473.670.332-63,Rio Branco
Alceste Bethecourt,Vereador,Eleito,600.284.025-70,Maceió
Alceste Bonilha,Vereador,Eleito,948.231.937-09,Macapá
Alceste Calheiros,Vereador,Eleito,481.264.157-89,Manaus
Alceste Cortés,Vereador,Eleito,788.415.833-71,Salvador
Alceste Gentil,Vereador,Eleito,258.353.092-52,Fortaleza
Alceste Lousã,Vereador,Eleito,001.805.225-82,Brasília
Alceste Sintra,Vereador,Eleito,638.251.767-46,Vitória
Alcides Barcellos,Vereador,Eleito,771.022.137-86,Goiânia
Alcides Batata,Vereador,Eleito,946.869.376-71,São Luís
Alcides Cardim,Vereador,Eleito,668.054.052-62,Cuiabá
Alcides Carmona,Vereador,Eleito,975.922.018-01,Campo Grande
Alcides Castanheira,Vereador,Eleito,676.449.485-11,Belo Horizonte
Alcides Castelão,Vereador,Eleito,916.358.754-80,Belém
Alcides Fonseca,Vereador,Eleito,021.905.988-85,João Pessoa
Alcides Godoi,Vereador,Eleito,340.647.202-88,Curitiba
Alcides Gonsalves,Vereador,Eleito,275.309.608-22,Recife
Alcides Guimaraes,Vereador,Eleito,082.831.209-56,Teresina
Alcides Hipólito,Vereador,Eleito,085.386.967-77,Rio de Janeiro
Alcides Loio,Vereador,Eleito,977.935.438-74,Natal
Alcides Mortágua,Vereador,Eleito,908.090.249-77,Porto Alegre
Alcides Pozas,Vereador,Eleito,171.056.472-56,Porto Velho
Alcides Rabelo,Vereador,Eleito,994.912.112-42,Boa Vista
Alcides Soeiro,Vereador,Eleito,309.505.317-74,Florianópolis
Alda Aguiar,Vereador,Eleito,746.015.146-73,São Paulo
Alda Brás,Vereador,Eleito,469.417.771-09,Aracaju
Alda Carneiro,Vereador,Eleito,107.532.874-80,Palmas
Alda Díaz,Vereador,Eleito,932.743.575-37,Rio Branco
Alda Espargosa,Vereador,Eleito,453.232.591-91,Maceió
Alda Felgueiras,Vereador,Eleito,656.830.255-40,Macapá
Alda Fontes,Vereador,Eleito,055.632.808-61,Manaus
Alda Saraiva,Vereador,Eleito,191.825.886-43,Salvador
Alda Valente,Vereador,Eleito,112.454.581-67,Fortaleza
Alda Veríssimo,Vereador,Eleito,635.540.583-60,Brasília
Alda Vásquez,Vereador,Eleito,844.360.766-10,Vitória
Aldo Brites,Vereador,Eleito,176.465.288-62,Goiânia
Aldo Caldeira,Vereador,Eleito,879.009.397-68,São Luís
Aldo Campelo,Vereador,Eleito,654.421.528-70,Cuiabá
Aldo Jucá,Vereador,Eleito,354.488.991-96,Campo Grande
Aldo Lins,Vereador,Eleito,706.502.403-24,Belo Horizonte
Aldo Lobato,Vereador,Eleito,364.347.841-04,Belém
Aldo Macedo,Vereador,Eleito,083.268.328-04,João Pessoa
Aldo Marañón,Vereador,Eleito,874.413.626-95,Curitiba
Aldo Mexia,Vereador,Eleito,048.321.535-01,Recife
Aldo Padilla,Vereador,Eleito,885.493.659-63,Teresina
Aldo Paes,Vereador,Eleito,398.571.870-99,Rio de Janeiro
Aldo Teves,Vereador,Eleito,502.346.734-19,Natal
Aldo Vilas-Boas,Vereador,Eleito,946.173.065-95,Porto Alegre
Aldonça Azambuja,Vereador,Eleito,713.736.964-27,Porto Velho
Aldonça Festas,Vereador,Eleito,597.168.189-39,Boa Vista
Aldonça Ipiranga,Vereador,Eleito,707.479.681-60,Florianópolis
Aldonça Lucas,Vereador,Eleito,041.589.342-90,São Paulo
Aldonça Olaio,Vereador,Eleito,247.719.070-99,Aracaju
Aldonça Penha,Vereador,Eleito,575.716.117-50,Palmas
Aldonça Perdigón,Vereador,Eleito,085.826.177-47,Rio Branco
Aldonça Rosmaninho,Vereador,Eleito,954.802.793-35,Maceió
Aldonça Velázquez,Vereador,Eleito,037.232.467-37,Macapá
Aleixo Canto,Vereador,Eleito,394.159.776-04,Manaus
Aleixo Carvalhoso,Vereador,Eleito,882.545.138-56,Salvador
Aleixo Clementino,Vereador,Eleito,808.693.324-57,Fortaleza
Aleixo Cortês,Vereador,Eleito,294.041.906-08,Brasília
Aleixo Custódio,Vereador,Eleito,701.714.043-51,Vitória
Aleixo Câmara,Vereador,Eleito,340.059.456-35,Goiânia
Aleixo Diniz,Vereador,Eleito,618.541.541-09,São Luís
Aleixo Ferrão,Vereador,Eleito,758.393.187-87,Cuiabá
Aleixo Loureiro,Vereador,Eleito,096.647.167-90,Campo Grande
Aleixo Paião,Vereador,Eleito,117.572.352-56,Belo Horizonte
Aleixo Pedroso,Vereador,Eleito,771.953.986-92,Belém
Aleixo Ramos,Vereador,Eleito,252.055.386-35,João Pessoa
Aleixo Reguera,Vereador,Eleito,340.731.898-75,Curitiba
Aleixo Telinhos,Vereador,Eleito,631.065.305-96,Recife
Aleixo Tristão,Vereador,Eleito,819.104.154-56,Teresina
Aleixo Zarco,Vereador,Eleito,116.697.484-72,Rio de Janeiro
Alexandra Brum,Vereador,Eleito,644.285.464-75,Natal
Alexandra Cerqueira,Vereador,Eleito,415.807.600-58,Porto Alegre
Alexandra Coito,Prefeito,Eleito,386.838.911-35,Porto Velho
Alexandra Lira,Prefeito,Eleito,133.724.829-05,Boa Vista
Alexandra Mattozo,Prefeito,Eleito,620.090.618-10,Florianópolis
Alexandra Mourinho,Prefeito,Eleito,098.606.418-11,São Paulo
Alexandra Peña,Prefeito,Eleito,725.872.586-50,Aracaju
Alexandra Resende,Prefeito,Eleito,489.866.613-22,Palmas
Alexandra Sesimbra,Prefeito,Eleito,366.076.208-33,Rio Branco
Alexandra Teves,Prefeito,Eleito,993.548.124-73,Maceió
Alexandra Varella,Prefeito,Eleito,641.371.307-01,Macapá
Alexandra Veloso,Prefeito,Eleito,157.808.983-24,Manaus
Alexandra Vidigal,Prefeito,Eleito,133.232.387-10,Salvador
Alexandre Antas,Prefeito,Eleito,818.920.567-63,Fortaleza
Alexandre Bahía,Prefeito,Eleito,974.927.195-58,Brasília
Alexandre Barros,Prefeito,Eleito,169.310.062-23,Vitória
Alexandre Borja,Prefeito,Eleito,282.127.654-07,Goiânia
Alexandre Faustino,Prefeito,Eleito,343.742.232-40,São Luís
