Nome,Cargo,Tipo Cargo,CPF,Cidade,Sobrenome,Cod_IBGE
Adelino Villegas,Vereador,Eleito,319.286.738-80,Vitória, Villegas,32
Adolfo Barateiro,Vereador,Eleito,362.098.156-69,Goiânia, Barateiro,52
Adolfo Beserril,Vereador,Eleito,085.416.783-85,São Luís, Beserril,21
Adolfo Conceição,Vereador,Eleito,625.869.496-92,Cuiabá, Conceição,51
Adolfo Gusmão,Vereador,Eleito,008.286.743-70,Campo Grande, Gusmão,50
Adolfo Pinto,Vereador,Eleito,501.741.390-12,Belo Horizonte, Pinto,31
Adolfo Piragibe,Vereador,Eleito,926.650.813-69,Belém, Piragibe,15
Adolfo Teodoro,Vereador,Eleito,324.215.405-34,João Pessoa, Teodoro,25
Adolfo Vellozo,Vereador,Eleito,100.957.419-17,Curitiba, Vellozo,41
Adosindo Antas,Vereador,Eleito,110.488.755-04,Recife, Antas,26
Adosindo Barcelos,Vereador,Eleito,854.202.144-40,Teresina, Barcelos,22
Adosindo Fontoura,Vereador,Eleito,710.136.659-70,Rio de Janeiro, Fontoura,33
Adosindo Freitas,Vereador,Eleito,934.605.285-67,Natal, Freitas,24
Adosindo Herrera,Vereador,Eleito,050.115.975-47,Porto Alegre, Herrera,43
Adosindo Hurtado,Vereador,Eleito,052.287.026-01,Porto Velho, Hurtado,11
Adosindo Lages,Vereador,Eleito,801.184.967-00,Boa Vista, Lages,14
Adosindo Laureano,Vereador,Eleito,026.466.012-98,Florianópolis, Laureano,42
Adosindo Osório,Vereador,Eleito,144.566.939-08,São Paulo, Osório,35
Adosindo Quinterno,Vereador,Eleito,821.553.162-83,Aracaju, Quinterno,28
Adosindo Sabala,Vereador,Eleito,722.618.703-53,Palmas, Sabala,41
Adriana Bello,Vereador,Eleito,879.453.963-48,Rio Branco, Bello,12
Adriana Belém,Vereador,Eleito,236.279.507-12,Maceió, Belém,27
Adriana Fontes,Vereador,Eleito,098.304.863-03,Macapá, Fontes,16
Adriana Paraguaçu,Vereador,Eleito,808.982.282-71,Manaus, Paraguaçu,13
Adriana Proença,Vereador,Eleito,945.563.674-33,Salvador, Proença,29
Adriana Santana,Vereador,Eleito,759.152.434-87,Fortaleza, Santana,23
Adriana Sarabia,Vereador,Eleito,107.092.987-57,Brasília, Sarabia,53
Adriana Valentim,Vereador,Eleito,957.836.550-07,Vitória, Valentim,32
Adriana Vega,Vereador,Eleito,153.193.674-14,Goiânia, Vega,52
Adriano Albuquerque,Vereador,Eleito,399.959.469-12,São Luís, Albuquerque,21
Adriano Andrade,Vereador,Eleito,649.586.097-84,Cuiabá, Andrade,51
Adriano Baião,Vereador,Eleito,044.447.886-82,Campo Grande, Baião,50
Adriano Brum,Vereador,Eleito,000.685.764-71,Belo Horizonte, Brum,31
Adriano Domínguez,Vereador,Eleito,558.117.827-56,Belém, Domínguez,15
Adriano Durán,Vereador,Eleito,564.872.906-53,João Pessoa, Durán,25
Adriano Lemes,Vereador,Eleito,058.718.490-67,Curitiba, Lemes,41
Adriano Marrero,Vereador,Eleito,963.062.309-98,Recife, Marrero,26
Adriano Nieves,Vereador,Eleito,407.550.324-03,Teresina, Nieves,22
Adriano Pajares,Vereador,Eleito,205.089.136-91,Rio de Janeiro, Pajares,33
Adriano Pari,Vereador,Eleito,805.541.638-96,Natal, Pari,24
Adriano Saldanha,Vereador,Eleito,847.826.779-44,Porto Alegre, Saldanha,43
Adriano Uchoa,Vereador,Eleito,165.191.277-79,Porto Velho, Uchoa,11
Adão Aragão,Vereador,Eleito,578.564.349-96,Boa Vista, Aragão,14
Adão Casqueira,Vereador,Eleito,226.047.889-18,Florianópolis, Casqueira,42
Adão Castilho,Vereador,Eleito,472.437.614-70,São Paulo, Castilho,35
Adão Durão,Vereador,Eleito,273.998.466-93,Aracaju, Durão,28
Adão Fagundes,Vereador,Eleito,172.014.190-80,Palmas, Fagundes,41
Adão Freyre,Vereador,Eleito,322.936.681-69,Rio Branco, Freyre,12
Adão Granjeiro,Vereador,Eleito,206.063.042-82,Maceió, Granjeiro,27
Adão Neves,Vereador,Eleito,896.949.349-23,Macapá, Neves,16
Adão Pequeno,Vereador,Eleito,548.143.878-06,Manaus, Pequeno,13
Adão Pimenta,Vereador,Eleito,683.797.074-78,Salvador, Pimenta,29
Adão Quinaz,Vereador,Eleito,115.191.607-20,Fortaleza, Quinaz,23
Adão Sousa do Prado,Vereador,Eleito,441.580.101-36,Brasília, Prado,53
Adão Souto Maior,Vereador,Eleito,974.037.608-83,Vitória, Maior,32
Adão Tabares,Vereador,Eleito,828.142.448-68,Goiânia, Tabares,52
Adélia Blanco,Vereador,Eleito,032.615.828-63,São Luís, Blanco,21
Adélia Brión,Vereador,Eleito,104.687.437-31,Cuiabá, Brión,51
Adélia Dourado,Vereador,Eleito,588.224.290-87,Campo Grande, Dourado,50
Adélia Fróis,Vereador,Eleito,113.071.888-34,Belo Horizonte, Fróis,31
Adélia García,Vereador,Eleito,160.586.886-80,Belém, García,15
Adélia Lago,Vereador,Eleito,933.944.491-45,João Pessoa, Lago,25
Adélia Menna,Vereador,Eleito,832.713.934-78,Curitiba, Menna,41
Adélia Morgado,Vereador,Eleito,100.213.015-81,Recife, Morgado,26
Adélia Parente,Vereador,Eleito,761.362.121-96,Teresina, Parente,22
Adélia Pereira,Vereador,Eleito,165.903.209-18,Rio de Janeiro, Pereira,33
Adélia Quintero,Vereador,Eleito,939.989.380-44,Natal, Quintero,24
Adélia Viera,Vereador,Eleito,642.833.655-30,Porto Alegre, Viera,43
Adélio Assunção,Vereador,Eleito,060.706.394-72,Porto Velho, Assunção,11
Adélio Branco,Vereador,Eleito,234.050.493-77,Boa Vista, Branco,14
Adélio Brandão,Vereador,Eleito,295.703.056-06,Florianópolis, Brandão,42
Adélio Gameiro,Vereador,Eleito,369.683.210-33,São Paulo, Gameiro,35
Adélio Gouvêa,Vereador,Eleito,522.658.429-66,Aracaju, Gouvêa,28
Adélio Guerrero,Vereador,Eleito,836.672.859-57,Palmas, Guerrero,41
Adélio Linares,Vereador,Eleito,092.325.433-11,Rio Branco, Linares,12
Adélio Maranhão,Vereador,Eleito,779.213.137-87,Maceió, Maranhão,27
Adélio Mena,Vereador,Eleito,980.684.488-29,Macapá, Mena,16
Adélio Roriz,Vereador,Eleito,691.471.986-13,Manaus, Roriz,13
Adélio Álvez,Vereador,Eleito,975.055.464-73,Salvador, Álvez,29
Adérito Barra,Vereador,Eleito,938.572.475-41,Fortaleza, Barra,23
Adérito Camacho,Vereador,Eleito,532.517.152-67,Brasília, Camacho,53
Adérito Canhão,Vereador,Eleito,615.318.190-28,Vitória, Canhão,32
Adérito Espartero,Vereador,Eleito,157.337.260-91,Goiânia, Espartero,52
Adérito Guedelha,Vereador,Eleito,396.216.534-79,São Luís, Guedelha,21
Adérito Guedella,Vereador,Eleito,101.342.158-26,Cuiabá, Guedella,51
Adérito Mangueira,Vereador,Eleito,918.720.570-04,Campo Grande, Mangueira,50
Adérito Marins,Vereador,Eleito,323.422.079-48,Belo Horizonte, Marins,31
Adérito Meira,Vereador,Eleito,707.575.045-31,Belém, Meira,15
Adérito Mendes,Vereador,Eleito,226.545.226-28,João Pessoa, Mendes,25
Adérito Pajares,Vereador,Eleito,168.356.744-74,Curitiba, Pajares,41
Adérito Peçanha,Vereador,Eleito,550.069.829-00,Recife, Peçanha,26
Adérito Ramallo,Vereador,Eleito,689.202.393-20,Teresina, Ramallo,22
Adérito Ruas,Vereador,Eleito,378.694.827-57,Rio de Janeiro, Ruas,33
Adérito Sardinha,Vereador,Eleito,870.251.673-04,Natal, Sardinha,24
Adérito Águeda,Vereador,Eleito,640.847.132-36,Porto Alegre, Águeda,43
Afonso Aleixo,Vereador,Eleito,523.759.069-18,Porto Velho, Aleixo,11
Afonso Bautista,Vereador,Eleito,819.920.979-84,Boa Vista, Bautista,14
Afonso Brum,Vereador,Eleito,100.636.060-38,Florianópolis, Brum,42
Afonso Dias,Vereador,Eleito,426.929.277-61,São Paulo, Dias,35
Afonso Lisboa,Vereador,Eleito,852.803.229-97,Aracaju, Lisboa,28
Afonso Moniz,Vereador,Eleito,698.934.460-15,Palmas, Moniz,41
Afonso Queirós,Vereador,Eleito,079.613.105-84,Rio Branco, Queirós,12
Afonso Quirino,Vereador,Eleito,244.137.012-08,Maceió, Quirino,27
Afonso Rosa,Vereador,Eleito,969.295.187-19,Macapá, Rosa,16
Afonso Santos,Vereador,Eleito,158.458.709-17,Manaus, Santos,13
Afonso Saraiva,Vereador,Eleito,460.742.676-85,Salvador, Saraiva,29
Afonso Vilas Boas,Vereador,Eleito,341.600.918-57,Fortaleza, Boas,23
Agostinho Alancastro,Vereador,Eleito,033.348.763-06,Brasília, Alancastro,53
Agostinho Azambuja,Vereador,Eleito,010.625.120-14,Vitória, Azambuja,32
Agostinho Belchior,Vereador,Eleito,224.179.272-17,Goiânia, Belchior,52
Agostinho Caneira,Vereador,Eleito,060.043.451-64,São Luís, Caneira,21
Agostinho Núñez,Vereador,Eleito,408.459.623-02,Cuiabá, Núñez,51
Agostinho Rosário,Vereador,Eleito,651.321.051-81,Campo Grande, Rosário,50
Agostinho Terra,Vereador,Eleito,480.775.064-02,Belo Horizonte, Terra,31
Agostinho Varejão,Vereador,Eleito,411.141.210-61,Belém, Varejão,15
Agostinho Villena,Vereador,Eleito,480.473.038-99,João Pessoa, Villena,25
Aguinaldo Anhaia,Vereador,Eleito,248.536.183-50,Curitiba, Anhaia,41
Aguinaldo Antúnez,Vereador,Eleito,485.706.100-76,Recife, Antúnez,26
Aguinaldo Gomide,Vereador,Eleito,295.621.891-39,Teresina, Gomide,22
Aguinaldo Leal,Vereador,Eleito,929.426.411-42,Rio de Janeiro, Leal,33
Aguinaldo Madeira,Vereador,Eleito,258.762.462-20,Natal, Madeira,24
Aguinaldo Mata,Vereador,Eleito,065.164.380-56,Porto Alegre, Mata,43
Aguinaldo Mourato,Vereador,Eleito,102.413.844-51,Porto Velho, Mourato,11
Aguinaldo Nobre,Vereador,Eleito,853.229.992-05,Boa Vista, Nobre,14
Aguinaldo Paes,Vereador,Eleito,768.812.815-36,Florianópolis, Paes,42
Aguinaldo Pasos,Vereador,Eleito,956.794.285-47,São Paulo, Pasos,35
Aguinaldo Paula,Vereador,Eleito,548.970.459-40,Aracaju, Paula,28
Aguinaldo Ramírez,Vereador,Eleito,520.973.424-26,Palmas, Ramírez,41
Aguinaldo Rodovalho,Vereador,Eleito,909.701.733-50,Rio Branco, Rodovalho,12
Aguinaldo Rosario,Vereador,Eleito,156.727.198-72,Maceió, Rosario,27
Aguinaldo Tabalipa,Vereador,Eleito,084.147.436-25,Macapá, Tabalipa,16
Aida Alves,Vereador,Eleito,714.912.118-73,Manaus, Alves,13
Aida Baptista,Vereador,Eleito,487.428.290-38,Salvador, Baptista,29
Aida Beltrão,Vereador,Eleito,203.789.183-03,Fortaleza, Beltrão,23
Aida Coutinho,Vereador,Eleito,507.550.555-43,Brasília, Coutinho,53
Aida Grangeia,Vereador,Eleito,333.103.875-00,Vitória, Grangeia,32
Aida Marroquim,Vereador,Eleito,788.281.881-03,Goiânia, Marroquim,52
Aida Moniz,Vereador,Eleito,139.598.401-87,São Luís, Moniz,21
Aida Rúa,Vereador,Eleito,483.138.772-00,Cuiabá, Rúa,51
Aida Sabrosa,Vereador,Eleito,231.372.113-28,Campo Grande, Sabrosa,50
Aida Tamoio,Vereador,Eleito,035.149.942-34,Belo Horizonte, Tamoio,31
Aida Veiga,Vereador,Eleito,776.542.238-38,Belém, Veiga,15
Aires Anlicoara,Vereador,Eleito,364.013.876-70,João Pessoa, Anlicoara,25
Aires Aragão,Vereador,Eleito,972.150.503-00,Curitiba, Aragão,41
Aires Coito,Vereador,Eleito,403.052.037-54,Recife, Coito,26
Aires Dias,Vereador,Eleito,332.647.818-67,Teresina, Dias,22
Aires Fiães,Vereador,Eleito,536.235.593-77,Rio de Janeiro, Fiães,33
Aires Gameiro,Vereador,Eleito,816.231.873-97,Natal, Gameiro,24
Aires Landim,Vereador,Eleito,868.504.791-99,Porto Alegre, Landim,43
Aires Mangueira,Vereador,Eleito,261.774.599-60,Porto Velho, Mangueira,11
Aires Manso,Vereador,Eleito,033.699.658-60,Boa Vista, Manso,14
Aires Mont Alverne,Vereador,Eleito,483.287.826-34,Florianópolis, Alverne,42
Aires Nieves,Vereador,Eleito,696.373.486-03,São Paulo, Nieves,35
Aires Severiano,Vereador,Eleito,608.300.552-31,Aracaju, Severiano,28
Ajuricaba Assis,Vereador,Eleito,771.740.522-90,Palmas, Assis,41
Ajuricaba Bentes,Vereador,Eleito,877.070.236-50,Rio Branco, Bentes,12
Ajuricaba Caiado,Vereador,Eleito,269.955.655-68,Maceió, Caiado,27
Ajuricaba Caniça,Vereador,Eleito,906.547.832-92,Macapá, Caniça,16
Ajuricaba Carvalhal,Vereador,Eleito,005.746.160-04,Manaus, Carvalhal,13
Ajuricaba Curvelo,Vereador,Eleito,080.627.686-00,Salvador, Curvelo,29
Ajuricaba Mora,Vereador,Eleito,632.813.336-72,Fortaleza, Mora,23
Ajuricaba Penha,Vereador,Eleito,249.083.829-64,Brasília, Penha,53
Ajuricaba Quaresma,Vereador,Eleito,099.245.896-02,Vitória, Quaresma,32
Ajuricaba Rosario,Vereador,Eleito,212.465.611-23,Goiânia, Rosario,52
Ajuricaba Villaverde,Vereador,Eleito,891.776.017-18,São Luís, Villaverde,21
Alarico Barreiro,Vereador,Eleito,173.539.074-79,Cuiabá, Barreiro,51
Alarico Costa,Vereador,Eleito,851.027.460-65,Campo Grande, Costa,50
Alarico Girã,Vereador,Eleito,369.876.257-94,Belo Horizonte, Girã,31
Alarico Goulart,Vereador,Eleito,188.198.304-85,Belém, Goulart,15
Alarico Mattozo,Vereador,Eleito,759.908.094-50,João Pessoa, Mattozo,25
Alarico Pimenta,Vereador,Eleito,023.482.299-60,Curitiba, Pimenta,41
Alarico Ribas,Vereador,Eleito,940.351.223-78,Recife, Ribas,26
Alarico Siebra,Vereador,Eleito,176.723.125-37,Teresina, Siebra,22
Alarico Siqueira,Vereador,Eleito,485.661.599-85,Rio de Janeiro, Siqueira,33
Alarico Vilaverde,Vereador,Eleito,926.903.546-83,Natal, Vilaverde,24
Alberta Abelho,Vereador,Eleito,926.463.799-00,Porto Alegre, Abelho,43
Alberta Abelho,Vereador,Eleito,606.289.288-15,Porto Velho, Abelho,11
Alberta Casquero,Vereador,Eleito,689.609.861-94,Boa Vista, Casquero,14
Alberta Castanho,Vereador,Eleito,599.483.022-49,Florianópolis, Castanho,42
Alberta Delgado,Vereador,Eleito,945.734.078-71,São Paulo, Delgado,35
Alberta Durão,Vereador,Eleito,714.568.142-06,Aracaju, Durão,28
Alberta Fidalgo,Vereador,Eleito,009.355.095-26,Palmas, Fidalgo,41
Alberta Horta,Vereador,Eleito,286.350.668-47,Rio Branco, Horta,12
Alberta Inês,Vereador,Eleito,957.203.527-40,Maceió, Inês,27
Alberta Nieves,Vereador,Eleito,139.379.535-82,Macapá, Nieves,16
Alberta Tabosa,Vereador,Eleito,648.253.105-91,Manaus, Tabosa,13
Alberto Acuña,Vereador,Eleito,715.953.889-74,Salvador, Acuña,29
Alberto Araújo,Vereador,Eleito,150.408.291-59,Fortaleza, Araújo,23
Alberto Blanco,Vereador,Eleito,069.170.981-59,Brasília, Blanco,53
Alberto Colaço,Vereador,Eleito,493.359.278-05,Vitória, Colaço,32
Alberto Corvelo,Vereador,Eleito,416.813.118-10,Goiânia, Corvelo,52
Alberto Godoy,Vereador,Eleito,448.909.474-42,São Luís, Godoy,21
Alberto Meira,Vereador,Eleito,232.393.827-41,Cuiabá, Meira,51
Alberto Peixoto,Vereador,Eleito,176.433.146-08,Campo Grande, Peixoto,50
Alberto Quadros,Vereador,Eleito,040.989.388-98,Belo Horizonte, Quadros,31
Alberto Queiroga,Vereador,Eleito,695.011.843-07,Belém, Queiroga,15
Alberto Severo,Vereador,Eleito,886.932.415-08,João Pessoa, Severo,25
Alberto Valentim,Vereador,Eleito,231.117.429-03,Curitiba, Valentim,41
Alberto Veleda,Vereador,Eleito,079.731.900-07,Recife, Veleda,26
Albino Candal,Vereador,Eleito,840.679.303-13,Teresina, Candal,22
Albino Coelho,Vereador,Eleito,944.248.061-89,Rio de Janeiro, Coelho,33
Albino Câmara,Vereador,Eleito,974.243.000-40,Natal, Câmara,24
Albino César,Vereador,Eleito,390.977.800-39,Porto Alegre, César,43
Albino Feitosa,Vereador,Eleito,994.373.586-48,Porto Velho, Feitosa,11
Albino Malheiro,Vereador,Eleito,903.552.859-08,Boa Vista, Malheiro,14
Albino Nogueira,Vereador,Eleito,501.933.651-38,Florianópolis, Nogueira,42
Albino Pitangui,Vereador,Eleito,336.038.909-30,São Paulo, Pitangui,35
Albino Sousa do Prado,Vereador,Eleito,708.507.876-61,Aracaju, Prado,28
Albino Telinhos,Vereador,Eleito,775.168.146-28,Palmas, Telinhos,41
Albino Varanda,Vereador,Eleito,473.670.332-63,Rio Branco, Varanda,12
Alceste Bethecourt,Vereador,Eleito,600.284.025-70,Maceió, Bethecourt,27
Alceste Bonilha,Vereador,Eleito,948.231.937-09,Macapá, Bonilha,16
Alceste Calheiros,Vereador,Eleito,481.264.157-89,Manaus, Calheiros,13
Alceste Cortés,Vereador,Eleito,788.415.833-71,Salvador, Cortés,29
Alceste Gentil,Vereador,Eleito,258.353.092-52,Fortaleza, Gentil,23
Alceste Lousã,Vereador,Eleito,001.805.225-82,Brasília, Lousã,53
Alceste Sintra,Vereador,Eleito,638.251.767-46,Vitória, Sintra,32
Alcides Barcellos,Vereador,Eleito,771.022.137-86,Goiânia, Barcellos,52
Alcides Batata,Vereador,Eleito,946.869.376-71,São Luís, Batata,21
Alcides Cardim,Vereador,Eleito,668.054.052-62,Cuiabá, Cardim,51
Alcides Carmona,Vereador,Eleito,975.922.018-01,Campo Grande, Carmona,50
Alcides Castanheira,Vereador,Eleito,676.449.485-11,Belo Horizonte, Castanheira,31
Alcides Castelão,Vereador,Eleito,916.358.754-80,Belém, Castelão,15
Alcides Fonseca,Vereador,Eleito,021.905.988-85,João Pessoa, Fonseca,25
Alcides Godoi,Vereador,Eleito,340.647.202-88,Curitiba, Godoi,41
Alcides Gonsalves,Vereador,Eleito,275.309.608-22,Recife, Gonsalves,26
Alcides Guimaraes,Vereador,Eleito,082.831.209-56,Teresina, Guimaraes,22
