Nome,Cargo,Tipo Cargo,CPF,Sobrenome,Cod_IBGE,Nepotismo
Abraão Chaves,Vereador,Eleito,857.852.635-05, Chaves,31,Não
Abraão Menna,Vereador,Eleito,278.155.134-17, Menna,15,Não
Abraão Penha,Vereador,Eleito,605.265.543-71, Penha,26,Não
Abraão Sampaio,Vereador,Eleito,116.272.263-03, Sampaio,33,Não
Abílio Bettencourt,Vereador,Eleito,732.020.176-32, Bettencourt,43,Não
Abílio Doutel,Vereador,Eleito,984.777.460-95, Doutel,14,Não
Abílio Gouvêa,Vereador,Eleito,892.818.223-93, Gouvêa,35,Não
Abílio Gómez,Vereador,Eleito,856.038.877-02, Gómez,28,Não
Abílio Infante,Vereador,Eleito,632.051.422-17, Infante,41,Não
Acacio Arantes,Vereador,Eleito,182.234.391-74, Arantes,13,Não
Acacio Moreyra,Vereador,Eleito,323.804.413-32, Moreyra,29,Não
Acacio Paiacã,Vereador,Eleito,493.137.251-18, Paiacã,23,Não
Acacio Santiago,Vereador,Eleito,030.760.914-68, Santiago,53,Não
Acacio Taperebá,Vereador,Eleito,612.706.496-12, Taperebá,32,Não
Adalberto Alvarenga,Vereador,Eleito,639.314.514-53, Alvarenga,52,Não
Adalberto Amarante,Vereador,Eleito,271.944.941-59, Amarante,21,Não
Adalberto Avelar,Vereador,Eleito,764.864.373-16, Avelar,51,Não
Adalberto Bahia,Vereador,Eleito,908.393.220-62, Bahia,50,Não
Adalberto Barra,Vereador,Eleito,994.048.605-73, Barra,31,Não
Adalberto Becerril,Vereador,Eleito,885.168.620-38, Becerril,15,Não
Adalberto Bogalho,Vereador,Eleito,983.521.189-27, Bogalho,25,Não
Adalberto Cachoeira,Vereador,Eleito,899.180.851-42, Cachoeira,41,Não
Adalberto Estrada,Vereador,Eleito,479.360.922-85, Estrada,22,Não
Adalberto Frois,Vereador,Eleito,668.736.896-61, Frois,33,Não
Adalberto Jaguariúna,Vereador,Eleito,602.042.881-85, Jaguariúna,24,Não
Adalberto Mexia,Vereador,Eleito,664.811.313-83, Mexia,43,Não
Adalberto Oleiro,Vereador,Eleito,581.101.964-54, Oleiro,11,Não
Adalberto Piratininga,Vereador,Eleito,438.702.467-40, Piratininga,14,Não
Adalberto Saloio,Vereador,Eleito,069.464.811-60, Saloio,42,Não
Adalberto Varão,Vereador,Eleito,976.065.336-28, Varão,35,Não
Adelaide Caldera,Vereador,Eleito,153.212.194-60, Caldera,41,Não
Adelaide Dorneles,Vereador,Eleito,131.182.550-99, Dorneles,12,Não
Adelaide Fialho,Vereador,Eleito,192.804.020-99, Fialho,27,Não
Adelaide Guilheiro,Vereador,Eleito,799.212.194-56, Guilheiro,16,Não
Adelaide Lustosa,Vereador,Eleito,340.974.712-52, Lustosa,29,Não
Adelaide Malta,Vereador,Eleito,034.221.743-70, Malta,23,Não
Adelaide Minho,Vereador,Eleito,323.069.594-12, Minho,53,Não
Adelaide Nascimento,Vereador,Eleito,626.881.179-80, Nascimento,32,Não
Adelaide Sacramento,Vereador,Eleito,218.897.875-74, Sacramento,21,Não
Adelaide Sequera,Vereador,Eleito,223.006.103-88, Sequera,51,Não
Adelaide Suárez,Vereador,Eleito,811.699.863-31, Suárez,50,Não
Adelina Alcantara,Vereador,Eleito,576.553.218-76, Alcantara,31,Não
Adelina Batista,Vereador,Eleito,999.820.158-69, Batista,15,Não
Adelina Benevides,Vereador,Eleito,854.124.284-60, Benevides,25,Não
Adelina Bulhosa,Vereador,Eleito,576.366.358-60, Bulhosa,41,Não
Adelina Godinho,Vereador,Eleito,228.908.617-75, Godinho,33,Não
Adelina Gomes,Vereador,Eleito,326.763.761-95, Gomes,24,Não
Adelina Jesús,Vereador,Eleito,577.841.493-52, Jesús,43,Não
Adelina Ramires,Vereador,Eleito,019.027.197-35, Ramires,11,Não
Adelina Robalinho,Vereador,Eleito,227.490.354-90, Robalinho,14,Não
Adelina Teves,Vereador,Eleito,697.779.542-55, Teves,42,Não
Adelino Bezerra,Vereador,Eleito,475.223.668-01, Bezerra,35,Não
Adelino Cardim,Vereador,Eleito,383.554.375-00, Cardim,28,Não
Adelino Granjeiro,Vereador,Eleito,381.769.576-40, Granjeiro,12,Não
Adelino Gravato,Vereador,Eleito,352.704.584-89, Gravato,27,Não
Adelino Porto,Vereador,Eleito,229.252.945-96, Porto,23,Não
Adelino Telles,Vereador,Eleito,131.006.707-44, Telles,53,Não
Adelino Villegas,Vereador,Eleito,319.286.738-80, Villegas,32,Não
Adolfo Beserril,Vereador,Eleito,085.416.783-85, Beserril,21,Não
Adolfo Conceição,Vereador,Eleito,625.869.496-92, Conceição,51,Não
Adolfo Gusmão,Vereador,Eleito,008.286.743-70, Gusmão,50,Não
Adolfo Pinto,Vereador,Eleito,501.741.390-12, Pinto,31,Não
Adolfo Piragibe,Vereador,Eleito,926.650.813-69, Piragibe,15,Não
Adolfo Teodoro,Vereador,Eleito,324.215.405-34, Teodoro,25,Não
Adosindo Antas,Vereador,Eleito,110.488.755-04, Antas,26,Não
Adosindo Fontoura,Vereador,Eleito,710.136.659-70, Fontoura,33,Não
Adosindo Freitas,Vereador,Eleito,934.605.285-67, Freitas,24,Não
Adosindo Herrera,Vereador,Eleito,050.115.975-47, Herrera,43,Não
Adosindo Osório,Vereador,Eleito,144.566.939-08, Osório,35,Não
Adosindo Quinterno,Vereador,Eleito,821.553.162-83, Quinterno,28,Não
Adosindo Sabala,Vereador,Eleito,722.618.703-53, Sabala,41,Não
Adriana Bello,Vereador,Eleito,879.453.963-48, Bello,12,Não
Adriana Belém,Vereador,Eleito,236.279.507-12, Belém,27,Não
Adriana Fontes,Vereador,Eleito,098.304.863-03, Fontes,16,Não
Adriana Paraguaçu,Vereador,Eleito,808.982.282-71, Paraguaçu,13,Não
Adriana Proença,Vereador,Eleito,945.563.674-33, Proença,29,Não
Adriana Sarabia,Vereador,Eleito,107.092.987-57, Sarabia,53,Não
Adriana Valentim,Vereador,Eleito,957.836.550-07, Valentim,32,Não
Adriano Albuquerque,Vereador,Eleito,399.959.469-12, Albuquerque,21,Não
Adriano Andrade,Vereador,Eleito,649.586.097-84, Andrade,51,Não
Adriano Baião,Vereador,Eleito,044.447.886-82, Baião,50,Não
Adriano Brum,Vereador,Eleito,000.685.764-71, Brum,31,Não
Adriano Domínguez,Vereador,Eleito,558.117.827-56, Domínguez,15,Não
Adriano Lemes,Vereador,Eleito,058.718.490-67, Lemes,41,Não
Adriano Marrero,Vereador,Eleito,963.062.309-98, Marrero,26,Não
Adriano Nieves,Vereador,Eleito,407.550.324-03, Nieves,22,Não
Adriano Pajares,Vereador,Eleito,205.089.136-91, Pajares,33,Não
Adriano Saldanha,Vereador,Eleito,847.826.779-44, Saldanha,43,Não
Adão Aragão,Vereador,Eleito,578.564.349-96, Aragão,14,Não
Adão Casqueira,Vereador,Eleito,226.047.889-18, Casqueira,42,Não
Adão Fagundes,Vereador,Eleito,172.014.190-80, Fagundes,41,Não
Adão Freyre,Vereador,Eleito,322.936.681-69, Freyre,12,Não
Adão Granjeiro,Vereador,Eleito,206.063.042-82, Granjeiro,27,Não
Adão Neves,Vereador,Eleito,896.949.349-23, Neves,16,Não
Adão Pequeno,Vereador,Eleito,548.143.878-06, Pequeno,13,Não
Adão Pimenta,Vereador,Eleito,683.797.074-78, Pimenta,29,Não
Adão Souto Maior,Vereador,Eleito,974.037.608-83, Maior,32,Não
Adélia Blanco,Vereador,Eleito,032.615.828-63, Blanco,21,Não
Adélia Brión,Vereador,Eleito,104.687.437-31, Brión,51,Não
Adélia García,Vereador,Eleito,160.586.886-80, García,15,Não
Adélia Lago,Vereador,Eleito,933.944.491-45, Lago,25,Não
Adélia Menna,Vereador,Eleito,832.713.934-78, Menna,41,Não
Adélia Morgado,Vereador,Eleito,100.213.015-81, Morgado,26,Não
Adélia Parente,Vereador,Eleito,761.362.121-96, Parente,22,Não
Adélia Viera,Vereador,Eleito,642.833.655-30, Viera,43,Não
Adélio Brandão,Vereador,Eleito,295.703.056-06, Brandão,42,Não
Adélio Gameiro,Vereador,Eleito,369.683.210-33, Gameiro,35,Não
Adélio Gouvêa,Vereador,Eleito,522.658.429-66, Gouvêa,28,Não
Adélio Guerrero,Vereador,Eleito,836.672.859-57, Guerrero,41,Não
Adélio Linares,Vereador,Eleito,092.325.433-11, Linares,12,Não
Adélio Maranhão,Vereador,Eleito,779.213.137-87, Maranhão,27,Não
Adélio Álvez,Vereador,Eleito,975.055.464-73, Álvez,29,Não
Adérito Barra,Vereador,Eleito,938.572.475-41, Barra,23,Não
Adérito Camacho,Vereador,Eleito,532.517.152-67, Camacho,53,Não
Adérito Canhão,Vereador,Eleito,615.318.190-28, Canhão,32,Não
Adérito Guedella,Vereador,Eleito,101.342.158-26, Guedella,51,Não
Adérito Marins,Vereador,Eleito,323.422.079-48, Marins,31,Não
Adérito Meira,Vereador,Eleito,707.575.045-31, Meira,15,Não
Adérito Mendes,Vereador,Eleito,226.545.226-28, Mendes,25,Não
Adérito Pajares,Vereador,Eleito,168.356.744-74, Pajares,41,Não
Adérito Peçanha,Vereador,Eleito,550.069.829-00, Peçanha,26,Não
Adérito Ramallo,Vereador,Eleito,689.202.393-20, Ramallo,22,Não
Adérito Sardinha,Vereador,Eleito,870.251.673-04, Sardinha,24,Não
Adérito Águeda,Vereador,Eleito,640.847.132-36, Águeda,43,Não
Afonso Aleixo,Vereador,Eleito,523.759.069-18, Aleixo,11,Não
Afonso Bautista,Vereador,Eleito,819.920.979-84, Bautista,14,Não
Afonso Dias,Vereador,Eleito,426.929.277-61, Dias,35,Não
Afonso Moniz,Vereador,Eleito,698.934.460-15, Moniz,41,Não
Afonso Quirino,Vereador,Eleito,244.137.012-08, Quirino,27,Não
Afonso Rosa,Vereador,Eleito,969.295.187-19, Rosa,16,Não
Afonso Santos,Vereador,Eleito,158.458.709-17, Santos,13,Não
Afonso Saraiva,Vereador,Eleito,460.742.676-85, Saraiva,29,Não
Agostinho Alancastro,Vereador,Eleito,033.348.763-06, Alancastro,53,Não
Agostinho Azambuja,Vereador,Eleito,010.625.120-14, Azambuja,32,Não
Agostinho Belchior,Vereador,Eleito,224.179.272-17, Belchior,52,Não
Agostinho Caneira,Vereador,Eleito,060.043.451-64, Caneira,21,Não
Agostinho Núñez,Vereador,Eleito,408.459.623-02, Núñez,51,Não
Agostinho Rosário,Vereador,Eleito,651.321.051-81, Rosário,50,Não
Agostinho Terra,Vereador,Eleito,480.775.064-02, Terra,31,Não
Agostinho Varejão,Vereador,Eleito,411.141.210-61, Varejão,15,Não
Agostinho Villena,Vereador,Eleito,480.473.038-99, Villena,25,Não
Aguinaldo Anhaia,Vereador,Eleito,248.536.183-50, Anhaia,41,Não
Aguinaldo Antúnez,Vereador,Eleito,485.706.100-76, Antúnez,26,Não
Aguinaldo Gomide,Vereador,Eleito,295.621.891-39, Gomide,22,Não
Aguinaldo Leal,Vereador,Eleito,929.426.411-42, Leal,33,Não
Aguinaldo Madeira,Vereador,Eleito,258.762.462-20, Madeira,24,Não
Aguinaldo Mata,Vereador,Eleito,065.164.380-56, Mata,43,Não
Aguinaldo Mourato,Vereador,Eleito,102.413.844-51, Mourato,11,Não
Aguinaldo Nobre,Vereador,Eleito,853.229.992-05, Nobre,14,Não
Aguinaldo Paes,Vereador,Eleito,768.812.815-36, Paes,42,Não
Aguinaldo Rodovalho,Vereador,Eleito,909.701.733-50, Rodovalho,12,Não
Aguinaldo Rosario,Vereador,Eleito,156.727.198-72, Rosario,27,Não
Aida Alves,Vereador,Eleito,714.912.118-73, Alves,13,Não
Aida Baptista,Vereador,Eleito,487.428.290-38, Baptista,29,Não
Aida Beltrão,Vereador,Eleito,203.789.183-03, Beltrão,23,Não
Aida Marroquim,Vereador,Eleito,788.281.881-03, Marroquim,52,Não
Aida Moniz,Vereador,Eleito,139.598.401-87, Moniz,21,Não
Aires Anlicoara,Vereador,Eleito,364.013.876-70, Anlicoara,25,Não
Aires Aragão,Vereador,Eleito,972.150.503-00, Aragão,41,Não
Aires Coito,Vereador,Eleito,403.052.037-54, Coito,26,Não
Aires Dias,Vereador,Eleito,332.647.818-67, Dias,22,Não
Aires Gameiro,Vereador,Eleito,816.231.873-97, Gameiro,24,Não
Aires Landim,Vereador,Eleito,868.504.791-99, Landim,43,Não
Aires Mangueira,Vereador,Eleito,261.774.599-60, Mangueira,11,Não
Aires Manso,Vereador,Eleito,033.699.658-60, Manso,14,Não
Aires Mont Alverne,Vereador,Eleito,483.287.826-34, Alverne,42,Não
Ajuricaba Bentes,Vereador,Eleito,877.070.236-50, Bentes,12,Não
Ajuricaba Caiado,Vereador,Eleito,269.955.655-68, Caiado,27,Não
Ajuricaba Caniça,Vereador,Eleito,906.547.832-92, Caniça,16,Não
Ajuricaba Curvelo,Vereador,Eleito,080.627.686-00, Curvelo,29,Não
Ajuricaba Mora,Vereador,Eleito,632.813.336-72, Mora,23,Não
Ajuricaba Penha,Vereador,Eleito,249.083.829-64, Penha,53,Não
Ajuricaba Quaresma,Vereador,Eleito,099.245.896-02, Quaresma,32,Não
Ajuricaba Rosario,Vereador,Eleito,212.465.611-23, Rosario,52,Não
Ajuricaba Villaverde,Vereador,Eleito,891.776.017-18, Villaverde,21,Não
Alarico Barreiro,Vereador,Eleito,173.539.074-79, Barreiro,51,Não
Alarico Costa,Vereador,Eleito,851.027.460-65, Costa,50,Não
Alarico Goulart,Vereador,Eleito,188.198.304-85, Goulart,15,Não
Alarico Pimenta,Vereador,Eleito,023.482.299-60, Pimenta,41,Não
Alarico Ribas,Vereador,Eleito,940.351.223-78, Ribas,26,Não
Alarico Siebra,Vereador,Eleito,176.723.125-37, Siebra,22,Não
Alarico Siqueira,Vereador,Eleito,485.661.599-85, Siqueira,33,Não
Alarico Vilaverde,Vereador,Eleito,926.903.546-83, Vilaverde,24,Não
Alberta Abelho,Vereador,Eleito,926.463.799-00, Abelho,43,Não
Alberta Abelho,Vereador,Eleito,606.289.288-15, Abelho,11,Não
Alberta Casquero,Vereador,Eleito,689.609.861-94, Casquero,14,Não
Alberta Castanho,Vereador,Eleito,599.483.022-49, Castanho,42,Não
Alberta Fidalgo,Vereador,Eleito,009.355.095-26, Fidalgo,41,Não
Alberta Horta,Vereador,Eleito,286.350.668-47, Horta,12,Não
Alberta Inês,Vereador,Eleito,957.203.527-40, Inês,27,Não
Alberta Tabosa,Vereador,Eleito,648.253.105-91, Tabosa,13,Não
Alberto Araújo,Vereador,Eleito,150.408.291-59, Araújo,23,Não
Alberto Blanco,Vereador,Eleito,069.170.981-59, Blanco,53,Não
Alberto Colaço,Vereador,Eleito,493.359.278-05, Colaço,32,Não
Alberto Corvelo,Vereador,Eleito,416.813.118-10, Corvelo,52,Não
Alberto Godoy,Vereador,Eleito,448.909.474-42, Godoy,21,Não
Alberto Meira,Vereador,Eleito,232.393.827-41, Meira,51,Não
Alberto Peixoto,Vereador,Eleito,176.433.146-08, Peixoto,50,Não
Alberto Queiroga,Vereador,Eleito,695.011.843-07, Queiroga,15,Não
Alberto Severo,Vereador,Eleito,886.932.415-08, Severo,25,Não
Alberto Valentim,Vereador,Eleito,231.117.429-03, Valentim,41,Não
Albino Candal,Vereador,Eleito,840.679.303-13, Candal,22,Não
Albino Câmara,Vereador,Eleito,974.243.000-40, Câmara,24,Não
Albino César,Vereador,Eleito,390.977.800-39, César,43,Não
Albino Malheiro,Vereador,Eleito,903.552.859-08, Malheiro,14,Não
Albino Pitangui,Vereador,Eleito,336.038.909-30, Pitangui,35,Não
Albino Sousa do Prado,Vereador,Eleito,708.507.876-61, Prado,28,Não
Alceste Bethecourt,Vereador,Eleito,600.284.025-70, Bethecourt,27,Não
Alceste Bonilha,Vereador,Eleito,948.231.937-09, Bonilha,16,Não
Alceste Cortés,Vereador,Eleito,788.415.833-71, Cortés,29,Não
Alceste Gentil,Vereador,Eleito,258.353.092-52, Gentil,23,Não
Alceste Lousã,Vereador,Eleito,001.805.225-82, Lousã,53,Não
Alceste Sintra,Vereador,Eleito,638.251.767-46, Sintra,32,Não
Alcides Barcellos,Vereador,Eleito,771.022.137-86, Barcellos,52,Não
Alcides Cardim,Vereador,Eleito,668.054.052-62, Cardim,51,Não
Alcides Carmona,Vereador,Eleito,975.922.018-01, Carmona,50,Não
Alcides Castelão,Vereador,Eleito,916.358.754-80, Castelão,15,Não
Alcides Fonseca,Vereador,Eleito,021.905.988-85, Fonseca,25,Não
Alcides Godoi,Vereador,Eleito,340.647.202-88, Godoi,41,Não
Alcides Gonsalves,Vereador,Eleito,275.309.608-22, Gonsalves,26,Não
Alcides Guimaraes,Vereador,Eleito,082.831.209-56, Guimaraes,22,Não
Alcides Hipólito,Vereador,Eleito,085.386.967-77, Hipólito,33,Não
Alcides Loio,Vereador,Eleito,977.935.438-74, Loio,24,Não
Alcides Mortágua,Vereador,Eleito,908.090.249-77, Mortágua,43,Não
Alcides Pozas,Vereador,Eleito,171.056.472-56, Pozas,11,Não
Alcides Rabelo,Vereador,Eleito,994.912.112-42, Rabelo,14,Não
Alcides Soeiro,Vereador,Eleito,309.505.317-74, Soeiro,42,Não
Alda Brás,Vereador,Eleito,469.417.771-09, Brás,28,Não
Alda Díaz,Vereador,Eleito,932.743.575-37, Díaz,12,Não
Alda Felgueiras,Vereador,Eleito,656.830.255-40, Felgueiras,16,Não
Alda Fontes,Vereador,Eleito,055.632.808-61, Fontes,13,Não
Alda Saraiva,Vereador,Eleito,191.825.886-43, Saraiva,29,Não
Alda Veríssimo,Vereador,Eleito,635.540.583-60, Veríssimo,53,Não
Alda Vásquez,Vereador,Eleito,844.360.766-10, Vásquez,32,Não
Aldo Brites,Vereador,Eleito,176.465.288-62, Brites,52,Não
Aldo Campelo,Vereador,Eleito,654.421.528-70, Campelo,51,Não
Aldo Jucá,Vereador,Eleito,354.488.991-96, Jucá,50,Não
Aldo Lins,Vereador,Eleito,706.502.403-24, Lins,31,Não
Aldo Lobato,Vereador,Eleito,364.347.841-04, Lobato,15,Não
Aldo Macedo,Vereador,Eleito,083.268.328-04, Macedo,25,Não
Aldo Marañón,Vereador,Eleito,874.413.626-95, Marañón,41,Não
Aldo Mexia,Vereador,Eleito,048.321.535-01, Mexia,26,Não
Aldonça Azambuja,Vereador,Eleito,713.736.964-27, Azambuja,11,Não
Aldonça Festas,Vereador,Eleito,597.168.189-39, Festas,14,Não
Aldonça Ipiranga,Vereador,Eleito,707.479.681-60, Ipiranga,42,Não
Aldonça Lucas,Vereador,Eleito,041.589.342-90, Lucas,35,Não
Aldonça Olaio,Vereador,Eleito,247.719.070-99, Olaio,28,Não
Aldonça Penha,Vereador,Eleito,575.716.117-50, Penha,41,Não
Aldonça Velázquez,Vereador,Eleito,037.232.467-37, Velázquez,16,Não
Aleixo Carvalhoso,Vereador,Eleito,882.545.138-56, Carvalhoso,29,Não
Aleixo Clementino,Vereador,Eleito,808.693.324-57, Clementino,23,Não
Aleixo Cortês,Vereador,Eleito,294.041.906-08, Cortês,53,Não
Aleixo Câmara,Vereador,Eleito,340.059.456-35, Câmara,52,Não
Aleixo Ferrão,Vereador,Eleito,758.393.187-87, Ferrão,51,Não
Aleixo Loureiro,Vereador,Eleito,096.647.167-90, Loureiro,50,Não
Aleixo Pedroso,Vereador,Eleito,771.953.986-92, Pedroso,15,Não
Aleixo Ramos,Vereador,Eleito,252.055.386-35, Ramos,25,Não
Aleixo Reguera,Vereador,Eleito,340.731.898-75, Reguera,41,Não
Aleixo Tristão,Vereador,Eleito,819.104.154-56, Tristão,22,Não
Aleixo Zarco,Vereador,Eleito,116.697.484-72, Zarco,33,Não
Alexandra Cerqueira,Vereador,Eleito,415.807.600-58, Cerqueira,43,Não
Alexandra Lira,Prefeito,Eleito,133.724.829-05, Lira,14,Não
Alexandra Mattozo,Prefeito,Eleito,620.090.618-10, Mattozo,42,Não
Alexandra Mourinho,Prefeito,Eleito,098.606.418-11, Mourinho,35,Não
Alexandra Teves,Prefeito,Eleito,993.548.124-73, Teves,27,Não
Alexandra Varella,Prefeito,Eleito,641.371.307-01, Varella,16,Não
Alexandra Veloso,Prefeito,Eleito,157.808.983-24, Veloso,13,Não
Alexandre Bahía,Prefeito,Eleito,974.927.195-58, Bahía,53,Não
Alexandre Borja,Prefeito,Eleito,282.127.654-07, Borja,52,Não
Alexandre Faustino,Prefeito,Eleito,343.742.232-40, Faustino,21,Não
Alexandre Freixo,Prefeito,Eleito,541.755.200-31, Freixo,51,Não
Alexandre Gentil,Prefeito,Eleito,808.567.496-30, Gentil,50,Não
Alexandre Hollanda,Prefeito,Eleito,999.002.562-20, Hollanda,31,Não
Alexandre Junqueira,Prefeito,Eleito,598.601.044-25, Junqueira,15,Não
Alexandre Leme,Prefeito,Eleito,844.330.447-25, Leme,25,Não
Alexandre Nazário,Prefeito,Eleito,996.602.369-05, Nazário,26,Não
Alexandre Nolasco,Prefeito,Eleito,140.349.419-36, Nolasco,22,Não
Alexandre Penha,Prefeito,Eleito,219.972.383-65, Penha,33,Não
Alexandre Siqueira,Prefeito,Eleito,197.526.366-91, Siqueira,24,Não
Alfredo Affonso,Prefeito,Eleito,436.762.634-21, Affonso,43,Não
Alfredo Boga,Prefeito,Eleito,475.509.002-48, Boga,11,Não
Alfredo Cortesão,Prefeito,Eleito,754.199.036-10, Cortesão,28,Não
Alfredo Francia,Prefeito,Eleito,287.140.499-29, Francia,41,Não
Alfredo Gil,Prefeito,Eleito,259.265.505-05, Gil,12,Não
Alfredo Imbassaí,Prefeito,Eleito,861.771.496-42, Imbassaí,16,Não
Alfredo Picanço,Prefeito,Eleito,176.445.857-53, Picanço,53,Não
Alfredo Sabrosa,Prefeito,Eleito,850.330.738-34, Sabrosa,32,Não
Alfredo Travassos,Prefeito,Eleito,869.394.701-07, Travassos,52,Não
Alice Casado,Prefeito,Eleito,815.104.215-05, Casado,50,Não
Alice Gravato,Prefeito,Eleito,165.024.127-50, Gravato,15,Não
Alice Jesús,Prefeito,Eleito,324.833.536-06, Jesús,25,Não
Alice Mafra,Prefeito,Eleito,850.611.181-11, Mafra,41,Não
Alice Mota,Prefeito,Eleito,445.386.434-59, Mota,26,Não
Alice Reino,Prefeito,Eleito,665.115.879-16, Reino,22,Não
Alice Semedo,Prefeito,Eleito,552.261.774-88, Semedo,33,Não
Alicia Abrantes,Prefeito,Eleito,596.673.272-80, Abrantes,24,Não
Alicia Cruz,Prefeito,Eleito,051.352.430-46, Cruz,43,Não
Alicia Grande,Prefeito,Eleito,928.743.849-84, Grande,11,Não
Alicia Lins,Prefeito,Eleito,792.886.796-69, Lins,14,Não
Alicia Madruga,Prefeito,Eleito,514.253.664-90, Madruga,42,Não
Alicia Moita,Prefeito,Eleito,141.811.973-36, Moita,35,Não
Alicia Moraes,Prefeito,Eleito,503.620.916-84, Moraes,28,Não
Alicia Uchoa,Prefeito,Eleito,726.995.000-89, Uchoa,41,Não
Aline Belén,Prefeito,Eleito,407.927.432-70, Belén,12,Não
Aline Cotegipe,Prefeito,Eleito,931.514.396-59, Cotegipe,16,Não
Aline Godói,Prefeito,Eleito,109.830.129-38, Godói,13,Não
Aline Loio,Prefeito,Eleito,895.968.046-00, Loio,29,Não
Aline Marmou,Prefeito,Eleito,037.016.888-77, Marmou,23,Não
Aline Matos,Prefeito,Eleito,150.567.397-66, Matos,53,Não
Aline Queiroz,Prefeito,Eleito,271.781.099-47, Queiroz,32,Não
Aline Valim,Prefeito,Eleito,588.401.809-66, Valim,52,Não
Almeno Alancastre,Prefeito,Eleito,857.685.386-82, Alancastre,21,Não
Almeno Cachão,Prefeito,Eleito,827.198.599-07, Cachão,51,Não
Almeno Festas,Prefeito,Eleito,567.680.914-09, Festas,50,Não
Almeno Gutiérrez,Prefeito,Eleito,866.046.267-09, Gutiérrez,31,Não
Almeno Linares,Prefeito,Eleito,655.899.619-71, Linares,15,Não
Almeno Maranhão,Prefeito,Eleito,116.438.327-27, Maranhão,25,Não
Almeno Paredes,Prefeito,Eleito,834.784.961-79, Paredes,41,Não
Almeno Pereira,Prefeito,Eleito,083.401.258-85, Pereira,26,Não
Almeno Valentín,Prefeito,Eleito,041.576.143-30, Valentín,22,Não
Almeno VilaChã,Prefeito,Eleito,714.635.402-48, VilaChã,33,Não
Almeno Villas Bôas,Prefeito,Eleito,698.278.569-60, Bôas,24,Não
Almerinda Cambaúva,Prefeito,Eleito,734.134.073-84, Cambaúva,43,Não
Almerinda Pari,Prefeito,Eleito,512.347.294-07, Pari,14,Não
Almerinda Piteira,Prefeito,Eleito,314.769.607-39, Piteira,42,Não
Almerinda Ramalho,Prefeito,Eleito,059.764.488-87, Ramalho,28,Não
Almerinda Serralheiro,Prefeito,Eleito,376.378.358-04, Serralheiro,12,Não
Almerinda Severiano,Prefeito,Eleito,701.841.544-64, Severiano,27,Não
Almor Antas,Prefeito,Eleito,607.506.233-57, Antas,29,Não
Almor Brites,Prefeito,Eleito,730.697.426-29, Brites,23,Não
Almor Chamusca,Prefeito,Eleito,361.671.276-97, Chamusca,32,Não
Almor Guerreiro,Prefeito,Eleito,494.632.475-56, Guerreiro,21,Não
Almor Machado,Prefeito,Eleito,242.798.149-45, Machado,50,Não
Almor Moita,Prefeito,Eleito,525.674.109-88, Moita,31,Não
Almor Pavía,Prefeito,Eleito,319.694.387-97, Pavía,15,Não
Almor Póvoas,Prefeito,Eleito,130.125.741-90, Póvoas,25,Não
Almor Quiroga,Prefeito,Eleito,915.581.375-56, Quiroga,41,Não
Almor Reguera,Prefeito,Eleito,896.521.817-90, Reguera,26,Não
Almor Ribas,Prefeito,Eleito,271.095.560-18, Ribas,22,Não
Almor Semedo,Prefeito,Eleito,126.354.831-83, Semedo,33,Não
Almor Serralheiro,Prefeito,Eleito,015.247.983-04, Serralheiro,24,Não
